"Employment; jobs, wages, working hours, SIC2008; key figures"
"Industrial classes / branches (SIC2008): A-U All economic activities"
"";"";"";"Periods"
"Characteristics job / employee / company";"Topic";"";"2010 after change of method";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Total";"Employment|Labour volume";"x 1 000";"5924";"5926";"5868";"5773";"5740";"5794";"5902";"6045";"6237";"6381";"6356";"6507";"6723"
"Total";"Wage per job|Yearly wage|Yearly wage including bonuses";"euro";"30990";"31340";"31740";"32430";"32590";"33200";"33730";"34090";"34670";"35630";"37280";"38380";"39940"
"Total";"Wage per job|Yearly wage|Yearly wage excluding special payments";"euro";"26940";"27200";"27630";"28050";"28310";"28860";"29230";"29520";"30090";"30900";"32310";"33130";"34230"
"Total";"Wage per job|Yearly wage|Bonuses and allowances";"euro";"4050";"4140";"4120";"4380";"4270";"4340";"4500";"4570";"4580";"4740";"4970";"5250";"5710"
"Total";"Wage per job|Yearly wage|Additional tax liability for company car";"euro";"500";"470";"480";"460";"430";"390";"390";"400";"420";"440";"470";"470";"480"
"Total";"Working hours|Per working year";"hour";"1727";"1739";"1728";"1729";"1738";"1732";"1743";"1754";"1747";"1756";"1753";"1763";"1764"
"Sex: Male";"Employment|Labour volume";"x 1 000";"3558";"3548";"3493";"3425";"3401";"3434";"3491";"3573";"3666";"3726";"3686";"3744";"3842"
"Sex: Male";"Wage per job|Yearly wage|Yearly wage including bonuses";"euro";"38810";"39250";"39680";"40490";"40510";"41140";"41560";"41830";"42380";"43410";"45120";"46420";"48000"
"Sex: Male";"Wage per job|Yearly wage|Yearly wage excluding special payments";"euro";"33670";"33970";"34440";"34850";"35050";"35600";"35880";"36080";"36640";"37470";"39010";"39840";"40910"
"Sex: Male";"Wage per job|Yearly wage|Bonuses and allowances";"euro";"5140";"5280";"5240";"5640";"5460";"5540";"5680";"5750";"5740";"5930";"6120";"6580";"7090"
"Sex: Male";"Wage per job|Yearly wage|Additional tax liability for company car";"euro";"820";"780";"790";"760";"710";"640";"620";"640";"680";"710";"750";"760";"780"
"Sex: Male";"Working hours|Per working year";"hour";"1762";"1775";"1764";"1766";"1776";"1768";"1777";"1784";"1778";"1787";"1783";"1794";"1794"
"Sex: Female";"Employment|Labour volume";"x 1 000";"2366";"2378";"2375";"2348";"2340";"2360";"2411";"2472";"2571";"2655";"2670";"2763";"2880"
"Sex: Female";"Wage per job|Yearly wage|Yearly wage including bonuses";"euro";"22120";"22430";"22920";"23530";"23850";"24400";"25040";"25510";"26170";"27120";"28790";"29780";"31340"
"Sex: Female";"Wage per job|Yearly wage|Yearly wage excluding special payments";"euro";"19320";"19570";"20060";"20550";"20880";"21390";"21850";"22240";"22870";"23700";"25060";"25950";"27110"
"Sex: Female";"Wage per job|Yearly wage|Bonuses and allowances";"euro";"2800";"2860";"2860";"2980";"2970";"3020";"3190";"3270";"3300";"3420";"3730";"3830";"4230"
"Sex: Female";"Wage per job|Yearly wage|Additional tax liability for company car";"euro";"140";"130";"130";"130";"120";"120";"120";"130";"140";"150";"160";"160";"170"
"Sex: Female";"Working hours|Per working year";"hour";"1673";"1686";"1675";"1674";"1682";"1680";"1693";"1712";"1704";"1713";"1712";"1722";"1724"
"Type of employment contract: full-time";"Employment|Labour volume";"x 1 000";"3891";"3792";"3704";"3620";"3572";"3571";"3638";"3651";"3753";"3810";"3757";"3858";"3970"
"Type of employment contract: full-time";"Wage per job|Yearly wage|Yearly wage including bonuses";"euro";"44680";"45730";"46670";"47950";"48360";"49540";"50120";"50850";"51590";"52970";"54710";"56320";"58890"
"Type of employment contract: full-time";"Wage per job|Yearly wage|Yearly wage excluding special payments";"euro";"38730";"39590";"40490";"41220";"41750";"42760";"43180";"43770";"44500";"45610";"47120";"48180";"49950"
"Type of employment contract: full-time";"Wage per job|Yearly wage|Bonuses and allowances";"euro";"5950";"6140";"6180";"6730";"6610";"6780";"6940";"7080";"7090";"7360";"7580";"8140";"8940"
"Type of employment contract: full-time";"Wage per job|Yearly wage|Additional tax liability for company car";"euro";"900";"880";"900";"870";"810";"750";"730";"770";"810";"850";"880";"880";"910"
"Type of employment contract: full-time";"Working hours|Per working year";"hour";"1759";"1773";"1763";"1765";"1775";"1766";"1778";"1790";"1785";"1794";"1788";"1801";"1801"
"Type of employment contract: part-time";"Employment|Labour volume";"x 1 000";"2033";"2133";"2164";"2153";"2168";"2223";"2264";"2394";"2483";"2571";"2599";"2649";"2753"
"Type of employment contract: part-time";"Wage per job|Yearly wage|Yearly wage including bonuses";"euro";"17560";"18130";"18490";"18810";"18950";"19350";"19710";"20330";"20780";"21550";"23150";"23670";"24580"
"Type of employment contract: part-time";"Wage per job|Yearly wage|Yearly wage excluding special payments";"euro";"15380";"15820";"16200";"16490";"16700";"17080";"17300";"17810";"18260";"18950";"20300";"20780";"21490"
"Type of employment contract: part-time";"Wage per job|Yearly wage|Bonuses and allowances";"euro";"2180";"2310";"2290";"2320";"2250";"2280";"2410";"2520";"2520";"2600";"2850";"2890";"3090"
"Type of employment contract: part-time";"Wage per job|Yearly wage|Additional tax liability for company car";"euro";"110";"100";"110";"100";"100";"90";"90";"100";"110";"120";"130";"140";"140"
"Type of employment contract: part-time";"Working hours|Per working year";"hour";"1665";"1679";"1668";"1667";"1676";"1677";"1687";"1699";"1690";"1701";"1703";"1708";"1711"
"Source: CBS"
